iata_code,ident,type,continent,iso_country,iso_region,municipality,gps_code,local_code,Name,City,Country,Latitude,Longitude,Altitude,Timezone,DST,Tz.database.time.zone
JXA,ZYJX,medium_airport,AS,CN,CN-23,Jixi,ZYJX,,Jixi Xingkaihu Airport,Jixi,China,45.293,131.193,760,8,N,Asia/Shanghai
JXN,KJXN,medium_airport,NA,US,US-MI,Jackson,KJXN,JXN,Jackson County Reynolds Field,Jackson,United States,42.25979996,-84.45939636,1001,-5,A,America/New_York
JYV,EFJY,medium_airport,EU,FI,FI-LS,Jyv√§skyl√§n Maalaiskunta,EFJY,,Jyvaskyla Airport,Jyvaskyla,Finland,62.3995018,25.67830086,459,2,E,Europe/Helsinki
JZH,ZUJZ,medium_airport,AS,CN,CN-51,Jiuzhaigou,ZUJZ,,Jiuzhai Huanglong Airport,Jiuzhaigou,China,32.85333333,103.6822222,11327,8,U,Asia/Shanghai
KAA,FLKS,small_airport,AF,ZM,ZM-05,Kasama,FLKS,,Kasama Airport,Kasama,Zambia,-10.2166996,31.13330078,4541,2,N,Africa/Lusaka
KAB,FVKB,medium_airport,AF,ZW,ZW-MW,Kariba,FVKB,,Kariba International Airport,Kariba,Zimbabwe,-16.51980019,28.88500023,1706,2,U,Africa/Harare
KAC,OSKL,medium_airport,AS,SY,SY-HA,Kamishly,OSKL,,Kamishly Airport,Kamishly,Syria,37.02059937,41.19139862,1480,2,E,Asia/Damascus
KAD,DNKA,medium_airport,AF,NG,NG-KD,Kaduna,DNKA,,Kaduna Airport,Kaduna,Nigeria,10.6960001,7.320109844,2073,1,N,Africa/Lagos
KAE,KAE,seaplane_base,NA,US,US-AK,Kake,KAE,KAE,Kake Seaplane Base,Kake,United States,56.973056,-133.945556,0,-9,A,America/Anchorage
KAG,RKNN,medium_airport,AS,KR,KR-42,Gangneung,RKNN,,Gangneung Airport,Kangnung,South Korea,37.75360107,128.9440002,35,9,U,Asia/Seoul
KAI,PKSA,medium_airport,SA,GY,GY-PT,Kaieteur Falls,SYKA,,Kaieteur International Airport,Kaieteur,Guyana,5.172754765,-59.49148178,1520,-4,U,America/Guyana
KAJ,EFKI,medium_airport,EU,FI,FI-OL,Kajaani,EFKI,,Kajaani Airport,Kajaani,Finland,64.28549957,27.69239998,483,2,E,Europe/Helsinki
KAL,PAKV,small_airport,NA,US,US-AK,Kaltag,PAKV,KAL,Kaltag Airport,Kaltag,United States,64.31909943,-158.7409973,181,-9,A,America/Anchorage
KAN,DNKN,medium_airport,AF,NG,NG-KN,Kano,DNKN,,Mallam Aminu International Airport,Kano,Nigeria,12.04759979,8.524620056,1562,1,N,Africa/Lagos
KAO,EFKS,medium_airport,EU,FI,FI-OL,Kuusamo,EFKS,,Kuusamo Airport,Kuusamo,Finland,65.98760223,29.23940086,866,2,E,Europe/Helsinki
KAR,SYKM,small_airport,SA,GY,GY-CU,Kamarang,SYKM,,Kamarang Airport,Kamarang,Guyana,5.865340233,-60.61420059,1601,-4,U,America/Guyana
KAS,FYKB,small_airport,AF,NA,NA-KA,Karasburg,FYKB,,Kasonaweja Airstrip,Kasonaweja,Indonesia,-2.3007,138.0327,88,9,N,Asia/Jayapura
KAT,NZKT,medium_airport,OC,NZ,NZ-NTL,Kaitaia,NZKT,,Kaitaia Airport,Kaitaia,New Zealand,-35.06999969,173.2850037,270,12,Z,Pacific/Auckland
KAU,EFKA,medium_airport,EU,FI,FI-LS,Kauhava,EFKA,,Kauhava Airport,Kauhava,Finland,63.127102,23.051399,151,2,E,Europe/Helsinki
KAW,VYKT,medium_airport,AS,MM,MM-05,Kawthoung,VYKT,,Kawthoung Airport,Kawthoung,Burma,10.04930019,98.53800201,180,6.5,U,Asia/Rangoon
KAX,YKBR,small_airport,OC,AU,AU-WA,Kalbarri,YKBR,,Kalbarri Airport,Kalbarri,Australia,-27.692813,114.259169,157,8,O,Australia/Perth
KAZ,WAMK,small_airport,AS,ID,ID-MU,Kao-Celebes Island,WAMK,,Kao Airport,Kao,Indonesia,1.185279965,127.8960037,27,9,N,\N
KBC,Z91,small_airport,NA,US,US-AK,Birch Creek,Z91,Z91,Birch Creek Airport,Brich Creek,United States,66.256708,-145.815319,450,-9,A,America/Anchorage
KBL,OAKB,medium_airport,AS,AF,AF-KAB,Kabul,OAKB,,Kabul International Airport,Kabul,Afghanistan,34.5658989,69.21230316,5877,4.5,U,Asia/Kabul
KBN,FZWT,small_airport,AF,CD,CD-KE,Kabinda,FZWT,,Tunta Airport,Kabinda,Congo (Kinshasa),-6.132999897,24.4829998,2766,1,U,\N
KBP,UKBB,large_airport,EU,UA,UA-32,Kiev,UKBB,,Boryspil International Airport,Kiev,Ukraine,50.34500122,30.8946991,427,2,E,Europe/Kiev
KBR,WMKC,medium_airport,AS,MY,MY-03,Kota Baharu,WMKC,,Sultan Ismail Petra Airport,Kota Bahru,Malaysia,6.16685009,102.2929993,16,8,N,Asia/Kuala_Lumpur
KBS,GFBO,medium_airport,AF,SL,SL-S,Bo,GFBO,,Bo Airport,Bo,Sierra Leone,7.944399834,-11.76099968,328,0,N,Africa/Freetown
KBT,MH-KBT,small_airport,OC,MH,MH-MAL,Kaben,,,Kaben Airport,Kaben,Marshall Islands,8.90056,170.844,0,12,U,Pacific/Majuro
KBU,WAOK,small_airport,AS,ID,ID-KS,Laut Island,WAOK,,Stagen Airport,Laut Island,Indonesia,-3.29472,116.165,4,8,N,Asia/Makassar
KBV,VTSG,medium_airport,AS,TH,TH-81,Krabi,VTSG,,Krabi Airport,Krabi,Thailand,8.09912014,98.98619843,82,7,U,Asia/Bangkok
KBW,Z78,seaplane_base,NA,US,US-AK,Chignik,Z78,Z78,Chignik Bay Seaplane Base,Chignik,United States,56.295556,-158.401398,0,-9,A,America/Anchorage
KBZ,NZKI,small_airport,OC,NZ,NZ-CAN,,NZKI,,Kaikoura Airport,Kaikoura,New Zealand,-42.42499924,173.6049957,20,12,Z,Pacific/Auckland
KCA,ZWKC,small_airport,AS,CN,CN-65,Kuqa,ZWKC,,Kuqa Airport,Kuqa,China,41.7181015,82.98690033,3524,8,U,Asia/Shanghai
KCC,KCC,seaplane_base,NA,US,US-AK,Coffman Cove,KCC,KCC,Coffman Cove Seaplane Base,Coffman Cove,United States,56.014722,-132.833889,0,-9,A,America/Anchorage
KCF,PK-KCF,small_airport,AS,PK,PK-SD,Kadanwari,OPKW,,Kadanwari Airport,Kadanwari,Pakistan,27.206389,69.156389,250,5,U,\N
KCG,KCG,closed,NA,US,US-AK,Chignik,,,Chignik Fisheries Airport,Chignik,United States,56.317778,-158.590833,25,-9,A,America/Anchorage
KCH,WBGG,medium_airport,AS,MY,MY-13,Kuching,WBGG,,Kuching International Airport,Kuching,Malaysia,1.484699965,110.3470001,89,8,N,Asia/Kuala_Lumpur
KCL,KCL,small_airport,NA,US,US-AK,Chignik Flats,KCL,KCL,Chignik Lagoon Airport,Chignik Lagoon,United States,56.311111,-158.534167,25,-9,A,America/Anchorage
KCM,LTCN,medium_airport,AS,TR,TR-46,Kahramanmara≈ü,LTCN,,Kahramanmaras Airport,Kahramanmaras,Turkey,37.53882599,36.95352173,1723,3,E,Europe/Istanbul
KCQ,A79,small_airport,NA,US,US-AK,Chignik Lake,A79,A79,Chignik Lake Airport,Chignik Lake,United States,56.255,-158.775278,50,-9,A,America/Anchorage
KCT,VCCK,medium_airport,AS,LK,LK-3,Galle,VCCK,,Koggala Airport,Koggala,Sri Lanka,5.99368,80.32029724,10,5.5,U,Asia/Colombo
KCZ,KCZ,medium_airport,AS,JP,JP-39,Nankoku,RJOK,,Kochi Ryoma Airport,Kochi,Japan,33.54610062,133.6690063,42,9,U,Asia/Tokyo
KCZ,RJOK,medium_airport,AS,JP,JP-39,Nankoku,RJOK,,Kochi Ryoma Airport,Kochi,Japan,33.54610062,133.6690063,42,9,U,Asia/Tokyo
KDC,DBBK,small_airport,AF,BJ,BJ-AL,Kandi,DBBK,,Kandi,Kandi,Benin,11.145056,2.940444,958,1,U,\N
KDD,OPKH,small_airport,AS,PK,PK-BA,Khuzdar,OPKH,,Khuzdar Airport,Khuzdar,Pakistan,27.79059982,66.64730072,4012,5,N,Asia/Karachi
KDH,OAKN,medium_airport,AS,AF,AF-KAN,,OAKN,,Kandahar Airport,Kandahar,Afghanistan,31.50580025,65.84780121,3337,4.5,U,Asia/Kabul
KDI,WAWW,small_airport,AS,ID,ID-SG,Kendari-Celebes Island,WAWW,,Wolter Monginsidi Airport,Kendari,Indonesia,-4.081610203,122.4179993,538,8,N,Asia/Makassar
KDL,EEKA,medium_airport,EU,EE,EE-39,K√§rdla,EEKA,,K‰rdla Airport,Kardla,Estonia,58.99079895,22.83069992,18,2,E,Europe/Tallinn
KDM,VRMT,medium_airport,AS,MV,MV-28,Huvadhu Atoll,VRMT,,Kaadedhdhoo Airport,Kaadedhdhoo,Maldives,0.488130987,72.99690247,2,5,U,Indian/Maldives
KDO,VRMK,medium_airport,AS,MV,MV-05,Kadhdhoo,VRMK,,Kadhdhoo Airport,Laamu Atoll,Maldives,1.85916996,73.52189636,4,5,U,Indian/Maldives
KDR,PG-KDR,small_airport,OC,PG,PG-WBK,Kandrian,AYKC,KDR,Kandrian Airport,Kandrian,Papua New Guinea,-6.183,149.533,280,10,U,Pacific/Port_Moresby
KDU,OPSD,medium_airport,AS,PK,PK-NA,Skardu,OPSD,,Skardu Airport,Skardu,Pakistan,35.33549881,75.53600311,7316,5,N,Asia/Karachi
KDV,NFKD,small_airport,OC,FJ,FJ-E,Vunisea,NFKD,,Vunisea Airport,Vunisea,Fiji,-19.05809975,178.1569977,6,12,U,Pacific/Fiji
KDY,RU-0200,small_airport,EU,RU,RU-SA,Khandyga,UEMH,,Tyopliy Klyuch,Khandyga,Russia,62.471,136.505,932,9,N,Asia/Yakutsk
KDZ,KDZ,seaplane_base,AS,LK,LK-2,Kandy,,,Polgolla Reservoir,Kandy,Sri Lanka,7.32512501,80.64211571,1472,5.5,N,Asia/Colombo
KED,GQNK,small_airport,AF,MR,MR-04,Ka√©di,GQNK,,KaÈdi Airport,Kaedi,Mauritania,16.15950012,-13.50759983,66,0,N,Africa/Nouakchott
KEF,BIKF,large_airport,EU,IS,IS-2,Reykjav√≠k,BIKF,,Keflavik International Airport,Keflavik,Iceland,63.98500061,-22.60560036,171,0,N,Atlantic/Reykjavik
KEH,S60,seaplane_base,NA,US,US-WA,Kenmore,S60,S60,Kenmore Air Harbor Inc Seaplane Base,Kenmore,United States,47.7548,-122.259,14,-8,A,America/Los_Angeles
KEJ,UNEE,medium_airport,AS,RU,RU-KEM,Kemerovo,UNEE,,Kemerovo Airport,Kemorovo,Russia,55.27009964,86.10720062,863,7,N,Asia/Krasnoyarsk
KEK,KEK,small_airport,NA,US,US-AK,Ekwok,KEK,KEK,Ekwok Airport,Ekwok,United States,59.356944,-157.471111,135,-9,A,America/Anchorage
KEL,EDHK,medium_airport,EU,DE,DE-SH,Kiel,EDHK,,Kiel-Holtenau Airport,Kiel,Germany,54.37944412,10.14527798,102,1,E,Europe/Berlin
KEM,EFKE,medium_airport,EU,FI,FI-LL,Kemi / Tornio,EFKE,,Kemi-Tornio Airport,Kemi,Finland,65.77870178,24.58209991,61,2,E,Europe/Helsinki
KEN,GFKE,medium_airport,AF,SL,SL-E,Kenema,GFKE,,Kenema Airport,Kenema,Sierra Leone,7.891290188,-11.17660046,485,0,N,Africa/Freetown
KEP,VNNG,medium_airport,AS,NP,NP-BH,Nepalgunj,VNNG,,Nepalgunj Airport,Nepalgunj,Nepal,28.10359955,81.66699982,540,5.75,N,Asia/Katmandu
KER,OIKK,medium_airport,AS,IR,IR-15,Kerman,OIKK,,Kerman Airport,Kerman,Iran,30.27440071,56.9510994,5741,3.5,E,Asia/Tehran
KES,CZEE,medium_airport,NA,CA,CA-MB,Kelsey,CZEE,ZEE,Kelsey Airport,Kelsey,Canada,56.03749847,-96.50969696,600,\N,\N,\N
KET,VYKG,medium_airport,AS,MM,MM-17,Kengtung,VYKG,,Kengtung Airport,Kengtung,Burma,21.3015995,99.63600159,2798,6.5,U,Asia/Rangoon
KEV,EFHA,medium_airport,EU,FI,FI-LS,Halli / Kuorevesi,EFHA,,Halli Airport,Halli,Finland,61.856039,24.786686,479,2,E,Europe/Helsinki
KEW,CPV8,small_airport,NA,CA,CA-ON,Keewaywin,CPV8,CPV8,Keewaywin Airport,Keewaywin,Canada,52.99110031,-92.83640289,988,-6,A,America/Winnipeg
KEY,HKKR,small_airport,AF,KE,KE-700,Kericho,HKKR,,Kericho Airport,Kericho,Kenya,-0.416999996,35.25,6562,3,U,Africa/Nairobi
KEZ,KEZ,seaplane_base,AS,LK,LK-1,Colombo,,,Kelani River-Peliyagoda Waterdrome,Colombo,Sri Lanka,6.9674637,79.88197231,28,5.5,N,Asia/Colombo
KFA,GQNF,small_airport,AF,MR,MR-03,Kiffa,GQNF,,Kiffa Airport,Kiffa,Mauritania,16.59000015,-11.40620041,424,0,N,Africa/Nouakchott
KFE,YFDF,small_airport,OC,AU,AU-WA,Cloudbreak Village,YFDF,,Fortescue - Dave Forrest Aerodrome,Cloudbreak,Australia,-22.290754,119.437143,1555,8,N,Australia/Perth
KFG,YKKG,small_airport,OC,AU,AU-NT,,YKKG,,Kalkgurung Airport,Kalkgurung,Australia,-17.43190002,130.8079987,646,9.5,O,Australia/Darwin
KFP,PAKF,small_airport,NA,US,US-AK,False Pass,PAKF,KFP,False Pass Airport,False Pass,United States,54.84740067,-163.4100037,20,-9,A,America/Anchorage
KFS,LTAL,small_airport,AS,TR,TR-37,Kastamonu,LTAL,,Kastamonu Airport,Kastamonu,Turkey,41.31420135,33.79579926,3520,3,E,Europe/Istanbul
KGA,FZUA,medium_airport,AF,CD,CD-KW,Kananga,FZUA,,Kananga Airport,Kananga,Congo (Kinshasa),-5.900050163,22.46920013,2139,2,U,Africa/Lubumbashi
KGC,YKSC,medium_airport,OC,AU,AU-SA,,YKSC,,Kingscote Airport,Kingscote,Australia,-35.71390152,137.5209961,24,9.5,O,Australia/Adelaide
KGD,UMKK,medium_airport,EU,RU,RU-KGD,Kaliningrad,UMKK,,Khrabrovo Airport,Kaliningrad,Russia,54.88999939,20.59259987,42,2,N,Europe/Kaliningrad
KGE,AGKG,small_airport,OC,SB,SB-CH,Kagau Island,AGKG,,Kaghau Airport,Kagau Island,Solomon Islands,-7.3305,157.585,30,11,U,Pacific/Guadalcanal
KGF,UAKK,large_airport,AS,KZ,KZ-KAR,Karaganda,UAKK,,Sary-Arka Airport,Karaganda,Kazakhstan,49.67079926,73.33439636,1765,6,U,Asia/Qyzylorda
KGG,GOTK,medium_airport,AF,SN,SN-TC,K√©dougou,GOTK,,KÈdougou Airport,Kedougou,Senegal,12.57229996,-12.22029972,584,0,N,Africa/Dakar
KGI,YPKG,medium_airport,OC,AU,AU-WA,Kalgoorlie,YPKG,,Kalgoorlie Boulder Airport,Kalgoorlie,Australia,-30.7894001,121.461998,1203,8,O,Australia/Perth
KGJ,FWKA,medium_airport,AF,MW,MW-KR,Karonga,FWKA,,Karonga Airport,Karonga,Malawi,-9.953570366,33.89300156,1765,2,U,Africa/Blantyre
KGK,PAJZ,small_airport,NA,US,US-AK,Koliganek,PAJZ,JZZ,Koliganek Airport,Koliganek,United States,59.72660065,-157.2590027,269,-9,A,America/Anchorage
KGL,HRYR,medium_airport,AF,RW,RW-01,Kigali,HRYR,,Kigali International Airport,Kigali,Rwanda,-1.968629956,30.13949966,4859,2,U,Africa/Kigali
KGO,UKKG,small_airport,EU,UA,UA-35,Kirovograd,UKKG,,Kirovograd Airport,Kirovograd,Ukraine,48.5428009,32.28499985,568,2,E,Europe/Kiev
KGP,USRK,medium_airport,AS,RU,RU-KHM,Kogalym,USRK,,Kogalym International Airport,Kogalym,Russia,62.19039917,74.53379822,220,5,N,Asia/Yekaterinburg
KGS,LGKO,medium_airport,EU,GR,GR-81,Kos Island,LGKO,,Kos Airport,Kos,Greece,36.79330063,27.0916996,412,2,E,Europe/Athens
KGW,KGW,small_airport,OC,PG,PG-CPM,Kagi,AYKQ,KAGI,Kagi,Kagi,Papua New Guinea,-9.135917,147.669444,4200,10,N,\N
KGX,KGX,small_airport,NA,US,US-AK,Grayling,PAGX,KGX,Grayling Airport,Grayling,United States,62.894444,-160.065,99,-9,A,America/Anchorage
KGY,YKRY,medium_airport,OC,AU,AU-QLD,,YKRY,,Kingaroy Airport,,Australia,-26.5807991,151.8410034,1492,\N,\N,\N
KHC,UKFK,small_airport,EU,UA,UA-43,Kerch,UKFK,,Kerch Airport,Kerch,Ukraine,45.37250137,36.40140152,171,3,E,Europe/Simferopol
KHD,OICK,medium_airport,AS,IR,IR-20,,OICK,,Khoram Abad Airport,Khorram Abad,Iran,33.4353981,48.28290176,3782,3.5,E,Asia/Tehran
KHE,UKOH,small_airport,EU,UA,UA-65,Kherson,UKOH,,Chernobayevka Airport,Kherson,Ukraine,46.67580032,32.50640106,148,2,E,Europe/Kiev
KHG,ZWSH,medium_airport,AS,CN,CN-65,Kashgar,ZWSH,,Kashgar Airport,Kashi,China,39.54290009,76.01999664,4529,8,U,Asia/Shanghai
KHH,RCKH,large_airport,AS,TW,TW-KHH,Kaohsiung City,RCKH,,Kaohsiung International Airport,Kaohsiung,Taiwan,22.57710075,120.3499985,31,8,U,Asia/Taipei
KHI,OPKC,medium_airport,AS,PK,PK-SD,Karachi,OPKC,,Jinnah International Airport,Karachi,Pakistan,24.9065,67.160797,100,5,N,Asia/Karachi
KHM,VYKI,small_airport,AS,MM,MM-01,Kanti,VYKI,,Kanti Airport,Khamti,Burma,25.98830032,95.67440033,6000,6.5,U,Asia/Rangoon
KHN,ZSCN,medium_airport,AS,CN,CN-36,Nanchang,ZSCN,,Nanchang Changbei International Airport,Nanchang,China,28.86499977,115.9000015,143,8,U,Asia/Shanghai
KHS,OOKB,medium_airport,AS,OM,OM-MU,Khasab,OOKB,,Khasab Air Base,Khasab,Oman,26.17099953,56.24060059,100,4,U,Asia/Muscat
KHT,OAKS,small_airport,AS,AF,AF-PIA,Khost,OAKS,,Khost Airport,Khost,Afghanistan,33.33340073,69.95200348,3756,4.5,N,Asia/Kabul
KHV,UHHH,large_airport,AS,RU,RU-KHA,Khabarovsk,UHHH,,Khabarovsk-Novy Airport,Khabarovsk,Russia,48.52799988,135.1880035,244,10,N,Asia/Vladivostok
KHW,FBKR,small_airport,AF,BW,BW-NW,Khwai River Lodge,FBKR,,Khwai River Lodge Airport,Khwai River,Botswana,-19.14999962,23.78300095,3000,2,N,Africa/Gaborone
KIA,KIA,closed,OC,PG,PG-MPL,Kaiapit,,,Kaieteur International Airport,Kaieteur Falls,Guyana,5.163333,-59.483333,95,-4,U,America/Guyana
KID,ESMK,medium_airport,EU,SE,SE-M,Kristianstad,ESMK,,Kristianstad Airport,Kristianstad,Sweden,55.92169952,14.08549976,76,1,E,Europe/Stockholm
KIE,AYKT,small_airport,OC,PG,PG-NSB,Kieta,AYIQ,KIA,Kieta Airport,Kieta,Papua New Guinea,-6.305416667,155.7281389,20,10,U,\N
KIF,CNM5,small_airport,NA,CA,CA-ON,Kingfisher Lake,CNM5,CNM5,Kingfisher Lake Airport,Kingfisher Lake,Canada,53.01250076,-89.8553009,866,-5,A,America/Toronto
KIH,OIBK,medium_airport,AS,IR,IR-23,Kish Island,OIBK,,Kish International Airport,Kish Island,Iran,26.52619934,53.98020172,101,3.5,E,Asia/Tehran
KIJ,RJSN,medium_airport,AS,JP,JP-15,Niigata,RJSN,,Niigata Airport,Niigata,Japan,37.95589828,139.1210022,29,9,U,Asia/Tokyo
KIK,ORKK,medium_airport,AS,IQ,IQ-TS,Kirkuk,ORKK,,Kirkuk Air Base,Kirkuk,Iraq,35.4695015,44.34889984,1061,3,N,Asia/Baghdad
KIM,FAKM,medium_airport,AF,ZA,ZA-NC,Kimberley,FAKM,,Kimberley Airport,Kimberley,South Africa,-28.80279922,24.76519966,3950,2,U,Africa/Johannesburg
KIN,MKJP,large_airport,NA,JM,JM-01,Kingston,MKJP,,Norman Manley International Airport,Kingston,Jamaica,17.93569946,-76.78749847,10,-5,U,America/Jamaica
KIO,Q51,small_airport,OC,MH,MH-KIL,Kili Island,,C51,Kili Airport,Kili Island,Marshall Islands,5.644515038,169.1195068,5,12,U,Pacific/Majuro
KIP,KCWC,small_airport,NA,US,US-TX,Wichita Falls,KCWC,CWC,KIEV  INTERNATIONAL AIRPORT,KIEV,Ukraine,50.1403,30.1808,250,2,E,Europe/Kiev
KIR,EIKY,medium_airport,EU,IE,IE-KY,Killarney,EIKY,,Kerry Airport,Kerry,Ireland,52.18090057,-9.523779869,112,0,E,Europe/Dublin
KIS,HKKI,medium_airport,AF,KE,KE-600,Kisumu,HKKI,,Kisumu Airport,Kisumu,Kenya,-0.086139001,34.72890091,3734,3,U,Africa/Nairobi
KIT,LGKC,small_airport,EU,GR,GR-A1,Kithira Island,LGKC,,Kithira Airport,Kithira,Greece,36.27429962,23.0170002,1045,2,E,Europe/Athens
KIV,LUKK,medium_airport,EU,MD,MD-C,Chi≈üinƒÉu,LUKK,,Chisinau International Airport,Chisinau,Moldova,46.92770004,28.93099976,399,2,E,Europe/Chisinau
KIW,FLSO,medium_airport,AF,ZM,ZM-08,Kitwe,FLSO,,Southdowns Airport,Southdowns,Zambia,-12.9005003,28.14990044,4145,2,U,Africa/Lusaka
KIX,RJBB,large_airport,AS,JP,JP-27,Osaka,RJBB,,Kansai International Airport,Osaka,Japan,34.4272995,135.2440033,26,9,U,Asia/Tokyo
KJA,UNKL,large_airport,AS,RU,RU-KYA,Krasnoyarsk,UNKL,,Yemelyanovo Airport,Krasnoyarsk,Russia,56.17290115,92.49330139,942,7,N,Asia/Krasnoyarsk
KJH,ZUKJ,medium_airport,AS,CN,CN-52,Huangping,ZUKJ,,Kaili Airport,Kaili,China,26.972,107.988,3115,8,N,\N
KJI,ZWKN,medium_airport,AS,CN,CN-65,Burqin,ZWKN,,Kanas Airport,Burqin,China,48.2223,86.9959,3921,8,U,Asia/Shanghai
KJP,ROKR,small_airport,AS,JP,JP-47,Kerama,ROKR,,Kerama Airport,Kerama,Japan,26.16830063,127.2929993,156,9,N,Asia/Tokyo
KKA,PAKK,small_airport,NA,US,US-AK,Koyuk,PAKK,KKA,Koyuk Alfred Adams Airport,Koyuk,United States,64.9394989,-161.154007,154,-9,A,America/Anchorage
KKB,KKB,seaplane_base,NA,US,US-AK,Kitoi Bay,KKB,KKB,Kitoi Bay Seaplane Base,Kitoi Bay,United States,58.190833,-152.370556,0,-9,A,America/Anchorage
KKC,VTUK,medium_airport,AS,TH,TH-40,Khon Kaen,VTUK,,Khon Kaen Airport,Khon Kaen,Thailand,16.46660042,102.7839966,670,7,U,Asia/Bangkok
KKD,PG-KKD,small_airport,OC,PG,PG-NPP,Kokoda,AYKO,KOK,Kokoda Airport,Kokoda,Papua New Guinea,-8.88468,147.731,1240,10,U,Pacific/Port_Moresby
KKE,NZKK,medium_airport,OC,NZ,NZ-NTL,Kerikeri,NZKK,,Kerikeri Airport,Kerikeri,New Zealand,-35.26279831,173.9120026,492,12,Z,Pacific/Auckland
KKH,PADY,small_airport,NA,US,US-AK,Kongiganak,PADY,DUY,Kongiganak Airport,Kongiganak,United States,59.96080017,-162.8809967,30,-9,A,America/Anchorage
KKI,Z13,small_airport,NA,US,US-AK,Akiachak,Z13,Z13,Akiachak Airport,Akiachak,United States,60.906111,-161.426944,25,-9,A,America/Anchorage
KKJ,RJFR,medium_airport,AS,JP,JP-40,Kitaky≈´sh≈´,RJFR,,Kitakyushu Airport,Kitakyushu,Japan,33.84590149,131.0350037,21,9,U,Asia/Tokyo
KKN,ENKR,medium_airport,EU,NO,NO-20,Kirkenes,ENKR,,Kirkenes Airport (H¯ybuktmoen),Kirkenes,Norway,69.72579956,29.8913002,283,1,E,Europe/Oslo
KKR,NTGK,medium_airport,OC,PF,PF-U-A,,NTGK,,Kaukura Airport,Kaukura Atoll,French Polynesia,-15.66329956,-146.8849945,11,-10,U,Pacific/Tahiti
KKW,FZCA,medium_airport,AF,CD,CD-BN,,FZCA,,Kikwit Airport,Kikwit,Congo (Kinshasa),-5.035769939,18.78560066,1572,1,N,Africa/Kinshasa
KKX,RJKI,medium_airport,AS,JP,JP-46,Kikai,RJKI,,Kikai Airport,Kikai,Japan,28.32130051,129.9279938,21,9,U,Asia/Tokyo
KLC,GOOK,medium_airport,AF,SN,SN-FK,Kaolack,GOOK,,Kaolack Airport,Kaolack,Senegal,14.14690018,-16.05130005,26,0,N,Africa/Dakar
KLD,UUEM,medium_airport,EU,RU,RU-TVE,Tver,UUEM,,Migalovo Air Base,Tver,Russia,56.8246994,35.75770187,469,3,N,Europe/Moscow
KLF,UUBC,medium_airport,EU,RU,RU-KLU,Kaluga,UUBC,,Grabtsevo Airport,Kaluga,Russia,54.54999924,36.3666687,656,3,N,Europe/Moscow
KLG,PALG,small_airport,NA,US,US-AK,Kalskag,PALG,KLG,Kalskag Airport,Kalskag,United States,61.53630066,-160.3410034,55,-9,A,America/Anchorage
KLH,VAKP,medium_airport,AS,IN,IN-MM,,VAKP,,Kolhapur Airport,Kolhapur,India,16.66469955,74.28939819,1996,5.5,N,Asia/Calcutta
KLK,HKFG,small_airport,AF,KE,KE-700,Kalokol,HKFG,,Kalokol,Kalokol,Kenya,3.49,35.84,1296,3,U,Africa/Nairobi
KLL,9Z8,small_airport,NA,US,US-AK,Levelock,9Z8,9Z8,Levelock Airport,Levelock,United States,59.128056,-156.858611,39,-9,A,America/Anchorage
KLN,PALB,small_airport,NA,US,US-AK,Larsen Bay,PALB,2A3,Larsen Bay Airport,Larsen Bay,United States,57.53509903,-153.9779968,87,-9,A,America/Anchorage
KLO,RPVK,medium_airport,AS,PH,PH-AKL,Kalibo,RPVK,,Kalibo International Airport,Kalibo,Philippines,11.67940044,122.3759995,14,8,N,Asia/Manila
KLR,ESMQ,medium_airport,EU,SE,SE-H,,ESMQ,,Kalmar Airport,Kalkmar,Sweden,56.6855011,16.28759956,17,1,E,Europe/Stockholm
KLS,KKLS,medium_airport,NA,US,US-WA,Kelso,KKLS,KLS,Southwest Washington Regional Airport,Kelso,United States,46.11800003,-122.8980026,20,-8,A,America/Los_Angeles
KLU,LOWK,medium_airport,EU,AT,AT-2,Klagenfurt am W√∂rthersee,LOWK,,Klagenfurt Airport,Klagenfurt,Austria,46.642502,14.3377,1472,1,E,Europe/Vienna
KLV,LKKV,medium_airport,EU,CZ,CZ-KA,Karlovy Vary,LKKV,,Karlovy Vary International Airport,Karlovy Vary,Czech Republic,50.20299911,12.91499996,1989,1,E,Europe/Prague
KLW,PAKW,medium_airport,NA,US,US-AK,Klawock,PAKW,AKW,Klawock Airport,Klawock,United States,55.57920074,-133.076004,80,-9,A,America/Anchorage
KLX,LGKL,medium_airport,EU,GR,GR-17,Kalamata,LGKL,,Kalamata Airport,Kalamata,Greece,37.06829834,22.02549934,26,2,E,Europe/Athens
KLZ,FAKZ,medium_airport,AF,ZA,ZA-NC,Kleinsee,FAKZ,,Kleinsee Airport,Kleinsee,South Africa,-29.68840027,17.09399986,270,2,U,Africa/Johannesburg
KMA,AYKM,medium_airport,OC,PG,PG-GPK,Kerema,AYKM,,Kerema Airport,Kerema,Papua New Guinea,-7.963610172,145.7709961,10,10,U,Pacific/Port_Moresby
KME,HRZA,medium_airport,AF,RW,RW-04,Kamembe,HRZA,,Kamembe Airport,Kamembe,Rwanda,-2.462239981,28.90789986,5192,2,U,Africa/Kigali
KMG,ZPPP,large_airport,AS,CN,CN-53,Kunming,ZPPP,,Kunming Changshui International Airport,Kunming,China,25.1019444,102.9291667,6903,8,N,Asia/Shanghai
